fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate
17001,"Adams County, Illinois",12.84,66220,3.87,12.35,36.98,0.53,30.27,27.46,4.4
17003,"Alexander County, Illinois",19.02,47043,6.48,26.84,15.46,0.83,37.23,12.55,9.5
17005,"Bond County, Illinois",10.88,65959,4.54,12.9,28.58,0.39,27.88,21.62,3.6
17007,"Boone County, Illinois",9.93,84571,7.36,14.29,42.71,3.01,24.78,23.64,5.6
17009,"Brown County, Illinois",9.25,67917,3.06,12.1,38.19,0.73,31.79,12.58,2.1
17011,"Bureau County, Illinois",10.76,69257,4.26,13.47,29.59,1.26,29.54,21.66,5.4
17013,"Calhoun County, Illinois",6.31,93203,3.24,7.67,23.57,0.39,32.59,20.12,2.4
17015,"Carroll County, Illinois",14.2,60758,3.06,15.14,33.84,1.38,31.75,17.75,5.8
17017,"Cass County, Illinois",11.09,68125,4.21,14.72,26.01,3.48,35.52,20.76,7.7
17019,"Champaign County, Illinois",19.07,63683,4.29,9.08,47.56,0.91,19.07,46.18,5.2
17021,"Christian County, Illinois",10.19,62611,4.57,15.28,29.53,0.91,39.91,17.14,3.9
17023,"Clark County, Illinois",9.15,72927,3.71,13.41,43.73,0.5,30.32,24.92,4.7
17025,"Clay County, Illinois",17.51,60417,4.84,18.51,19.73,1.33,31.45,13.1,5.1
17027,"Clinton County, Illinois",7.37,86588,3.41,9,32.8,0.48,26.47,25.86,4.8
17029,"Coles County, Illinois",18.7,56478,6.1,18.95,40.39,1.49,25.82,26.9,7.1
17031,"Cook County, Illinois",13.49,83498,7,15.67,45.97,2.5,18.96,42.72,8.9
17033,"Crawford County, Illinois",12.09,71674,3,13.75,28.97,0.51,24.61,20.6,5.3
17035,"Cumberland County, Illinois",9.09,73327,1.35,9.22,30.97,0.56,32.33,19.58,5.3
17037,"DeKalb County, Illinois",14.8,70724,6.8,14.73,53.6,1.24,22.5,32.95,5.1
17039,"De Witt County, Illinois",9.97,71678,3.96,13.09,31.29,1.01,34.75,23.2,3.2
