fips,locationname,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct
17031,Cook,31,18.7,11.8,5.7,11.1,74.2,23.3,9.8,11.8,31,56.9
17041,Douglas,38.5,22.6,11.7,8,15.1,73.1,24.7,10.4,9.4,35.4,61.9
17159,Richland,39.4,23,12.5,8.9,15.5,72,24.9,10.5,7.7,37.5,58.2
17145,Perry,40.7,22.3,13.2,9.5,17.4,70.8,27.1,10.5,10.2,38.5,60.2
17045,Edgar,37.5,22.8,13.6,9.8,16.4,71.5,26.8,10.5,8.1,40.3,62.2
17079,Jasper,38.2,22.6,12,8.1,14.3,71,23.2,10.2,6.9,36.9,65.9
17035,Cumberland,38.7,22.9,11.9,8.1,14.5,70.5,23.3,10.3,7.1,37.2,62.2
17139,Moultrie,38.4,23.7,11.6,8.6,16,67.9,24.7,10.7,8.4,36.1,61.1
17091,Kankakee,39.8,21.4,13,7.9,14.7,69.9,25,10.7,9.9,37.7,59.2
17175,Stark,38.2,22.3,12.7,8.8,15.1,71.3,24.9,10.3,7.8,38.5,66
17197,Will,38,18.9,10.7,5.6,11.6,68.8,24,9.7,9.1,32,59.8
17133,Monroe,35.5,21.3,10.1,6.2,11.3,68.9,18.6,9.9,5.6,33.9,68.1
17095,Knox,39.2,21.9,13.5,9.4,16,67.6,27.5,10.6,9.3,38.7,61.4
17173,Shelby,37.6,22.4,13,9,15.2,74.2,24.8,10.4,7.4,38.9,62.1
17027,Clinton,40.2,21.7,11.3,7.4,14,76.5,22.2,10.3,7.5,35.5,64.8
17113,McLean,34.5,22.3,9.5,5.6,11.2,74.5,19.4,10.3,6.8,30.9,63.2
17047,Edwards,40.3,23.6,14.1,10.3,17.3,68.9,27.3,10.8,8.3,40.2,63.2
17121,Marion,39.5,23.5,13.3,9.5,17,69.3,27,10.8,8.3,38.5,62.8
17135,Montgomery,39.1,22.3,12.6,8.9,16.1,66.6,25.6,10.3,8.6,37.4,61.7
17179,Tazewell,36.3,23,11.2,7.3,13.5,71.4,22.4,10.3,6.9,35.3,62.3
17169,Schuyler,40.4,21.9,14.4,9.8,17.2,66.2,27.3,10.3,8.7,41.4,59.1
17183,Vermilion,43.8,22.9,14.4,9.7,17.2,71.1,29,10.9,9.7,42.2,60.5
17149,Pike,40.6,23.2,13.3,9.7,16.8,70.2,27.1,10.6,8.5,39.4,62.4
17103,Lee,38.9,21.2,12.8,8.4,15.3,71.7,25.6,10.2,9.1,38,61.5
17057,Fulton,39.9,23.1,13,9.2,16.8,67.9,25.8,10.5,8.8,39.2,59.4
17033,Crawford,40.1,22.3,12.1,8.4,15.4,71.2,24.3,10.4,8.3,37.6,63.8
17093,Kendall,39.7,19.4,9.4,4.7,11,75.7,19.5,9.5,8.8,29.6,61.7
17005,Bond,39,22.8,11.6,8,15.1,74.1,24.2,10.5,8.8,35.5,63.8
17193,White,39.2,23.5,14.5,11,18.1,71.1,28.8,10.9,8.9,40.9,61.4
17155,Putnam,36.1,21.1,12.1,7.8,13.1,73,22.7,9.9,7.4,37.4,66.2
17059,Gallatin,40.8,23,14.6,10.9,17.4,70.4,28.2,10.8,8.7,41.6,59.3
17029,Coles,37.7,24.1,11.4,8.2,14.8,69.3,24.2,10.8,8.2,34,62.4
17065,Hamilton,40,23.3,13.9,10.1,17,71.8,26.8,10.7,8.3,39.9,60.6
17147,Piatt,35.1,21.7,10.9,6.9,12.5,73.1,20.8,10,6.2,35.4,65.6
17125,Mason,37.3,22.6,13.3,9.4,16,71.1,25.7,10.5,7.7,39.1,63.1
17051,Fayette,39.8,22.4,12.7,9.2,17.4,69.2,26.7,10.4,9.8,37.6,58.7
17109,McDonough,36.3,23.8,11.4,7.9,13.8,71.8,23.4,10.6,8,34.1,60.4
17019,Champaign,31.1,22.6,9.6,5.6,11.1,75,20.1,10.1,7.5,28.7,65.3
17117,Macoupin,37,22.9,12.8,9.1,15.9,71,25,10.6,7.8,38.2,61.6
17153,Pulaski,45.6,21.9,18.4,11.6,20,67,32.9,11.6,11.1,45.3,59.6
17131,Mercer,38.6,22.4,12.4,8.6,15.3,71.2,24.4,10.3,7.8,37.6,62.4
17017,Cass,40.6,21.6,13.4,8.6,15.8,67.6,27.8,10.2,12.6,37.4,60.6
17021,Christian,38.1,22.4,12.3,8.6,16.1,73.2,25.5,10.3,8.7,37.5,60.8
17165,Saline,40.3,23.3,13.5,9.7,16.7,67,26.3,10.9,8.3,39.2,62
17087,Johnson,41.4,21.5,12.9,8.9,16.8,64.8,26.4,10.2,10.4,38.4,56.8
17171,Scott,38.4,22.7,12.3,8.6,15.1,70.5,24.2,10.4,7.3,37.4,63.8
17013,Calhoun,35.3,21.2,11.9,7.8,12.9,71.8,22,10.1,6.4,38,64.5
17111,McHenry,32.1,21.7,10.5,5.9,11.5,75.9,20.9,9.6,7.9,33.7,63
17073,Henry,36.9,21.8,11.9,7.8,13.8,73.8,23.6,10.2,7.9,36.4,66.5
17077,Jackson,39.8,23,11.6,7.7,13.8,70.6,24.4,10.8,8.4,33.6,61
17089,Kane,35.1,18.6,11.5,5.7,11,73.1,23.1,9.3,11.6,30.4,59.4
17105,Livingston,35.9,22,12.2,8.4,15.3,67.8,25.4,10.5,8.8,36.6,64.8
17191,Wayne,39.9,23.3,13.6,10,17,68.8,27.4,10.7,8.5,39.7,62.9
17085,Jo Daviess,36.1,20.6,13.2,8.6,13,70.4,23.8,9.9,6.8,40.4,68
17025,Clay,41.5,23.6,13.9,10.3,17.8,70.1,27.8,10.8,9,39.7,59.4
17099,LaSalle,37.8,22.3,12.4,8.2,15,74.7,24.9,10.3,9.3,36.4,64.2
17063,Grundy,36.4,22,10.3,6.4,13.3,74.7,22.3,10.1,8.3,32.3,63.7
17007,Boone,36.8,21.5,12.2,7.4,14.1,74.8,25.6,10,11.8,34.9,61.3
17023,Clark,37.3,22.5,12,8.3,14.9,71.9,23.2,10.3,7.3,36.8,64.9
17001,Adams,37.8,22.4,12,8.1,14.4,73.2,24.1,10.3,7.3,37.2,64
17143,Peoria,34.8,22.1,12.6,7.5,13.8,70.2,23.5,10.6,8,36.9,62.1
17061,Greene,40.2,23.2,13.2,9.7,17.2,71,26.7,10.7,8.1,38.9,60.6
17009,Brown,41.5,20.5,11.7,8,17.8,65.9,26.4,10,12.1,36.4,55.8
17043,DuPage,29.2,17.4,10,5,9.5,76,19,8.9,7.2,30.7,65.2
17107,Logan,38.5,22.2,11.6,7.9,15.1,73.5,24.4,10.4,8.5,35.6,63.4
17049,Effingham,34.3,22.5,11.3,7.7,14.1,72.7,22.8,10.2,7.3,35.2,62.5
17167,Sangamon,39.6,21.1,11.9,7.3,13.2,72.8,22.2,10.5,7.1,37,64.2
17075,Iroquois,40.6,22.8,13.9,9.7,16.4,71.5,27,10.5,9.6,40,62.6
17129,Menard,37.9,22.5,11.7,7.9,14.1,72.6,22.5,10.4,6.7,36.8,62.1
17083,Jersey,39,22.8,11.7,7.9,14,74,23.2,10.3,6.9,36.2,63.8
17161,Rock Island,39.6,20.4,13.1,8.1,14.5,71.4,24.9,10.5,10,36.1,62.5
17141,Ogle,40.9,21.8,12.2,7.8,14,71.4,24,10.1,8.9,36.9,61.9
17015,Carroll,38.8,21.3,13.3,9,15.3,71.7,25.8,10.1,9.1,39.3,64
