fips,county_name,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi
17001,Adams County,0.2965,0.1343,0.4849,0.2628,0.6481,21.1,3.9,4.8
17003,Alexander County,0.8941,0.9052,0.8521,0.7423,0.7509,34.2,9.3,11
17005,Bond County,0.5253,0.3159,0.2167,0.3888,0.9736,24.3,4.3,4.4
17007,Boone County,0.4655,0.5189,0.6465,0.658,0.174,16.4,7.7,5.7
17009,Brown County,0.4753,0.2469,0.2199,0.6013,0.9144,23.2,2.1,5
17011,Bureau County,0.3544,0.4069,0.5644,0.4057,0.1973,21.4,5.7,6.5
17013,Calhoun County,0.0541,0.043,0.2297,0.0474,0.188,12.1,4.1,1.2
17015,Carroll County,0.2304,0.3271,0.1133,0.3118,0.3519,18.8,4.9,6.6
17017,Cass County,0.4998,0.3519,0.8148,0.6277,0.356,23,5.4,4.5
17019,Champaign County,0.4658,0.4388,0.0395,0.7226,0.8269,26.6,4.8,4.9
17021,Christian County,0.1966,0.2329,0.2173,0.1508,0.3509,20.8,4.4,4.4
17023,Clark County,0.0745,0.1553,0.1642,0.015,0.1238,17.5,4,4.8
17025,Clay County,0.5813,0.5196,0.8673,0.0407,0.5956,26.4,6,6.4
17027,Clinton County,0.1168,0.0754,0.0951,0.2444,0.4664,14.9,3,5.4
17029,Coles County,0.5574,0.6892,0.0566,0.2984,0.8941,28.3,6.9,6.9
17031,Cook County,0.7964,0.7754,0.3926,0.9138,0.8298,21.1,7.1,9
17033,Crawford County,0.1919,0.1709,0.1635,0.2587,0.4467,17.9,3.3,6.2
17035,Cumberland County,0.015,0.0347,0.1511,0.0191,0.0318,16,1.9,5.9
17037,DeKalb County,0.5523,0.5087,0.2329,0.6166,0.7604,21.9,7,4.4
17039,De Witt County,0.0493,0.1941,0.0751,0.0881,0.0538,20.2,5.4,4
17041,Douglas County,0.4578,0.447,0.4454,0.3322,0.5492,18.1,3,17.1
17043,DuPage County,0.2284,0.1632,0.1667,0.7296,0.3579,10.7,4.7,5.2
17045,Edgar County,0.343,0.3067,0.3875,0.0099,0.6402,23.6,4.6,5.1
17047,Edwards County,0.3058,0.3789,0.8632,0.0299,0.1037,22.8,6.7,7
17049,Effingham County,0.2081,0.0452,0.6032,0.0455,0.6169,17.4,2.5,5.3
17051,Fayette County,0.5644,0.4391,0.6207,0.3118,0.7789,24,3.8,7.9
17053,Ford County,0.3824,0.3449,0.5667,0.2536,0.4263,20.8,4.7,6.6
17055,Franklin County,0.4871,0.6704,0.4948,0.0579,0.4025,30.3,6.7,6.9
17057,Fulton County,0.2106,0.4343,0.0754,0.2109,0.2399,24.4,6.8,4.2
17059,Gallatin County,0.4521,0.4572,0.8078,0.0932,0.3408,29.3,7.8,2.9
17061,Greene County,0.1044,0.2043,0.3996,0.0099,0.0592,23.4,3.4,5.5
17063,Grundy County,0.0773,0.0865,0.2043,0.4518,0.0891,12.2,4.2,3.4
17065,Hamilton County,0.3029,0.4213,0.6507,0.0474,0.1794,25.2,4.4,7
17067,Hancock County,0.0885,0.1285,0.5577,0.0474,0.0484,21.5,4.7,4.9
17069,Hardin County,0.2383,0.1696,0.5301,0.0073,0.4588,22.3,2.6,5.2
17071,Henderson County,0.0391,0.1543,0.1438,0.0821,0.0204,17.4,7.9,2.1
17073,Henry County,0.126,0.0916,0.447,0.3388,0.1339,15.5,4.5,4.3
17075,Iroquois County,0.2673,0.4092,0.6456,0.3388,0.0573,22.2,4.9,5.9
17077,Jackson County,0.8479,0.8225,0.3452,0.6316,0.9863,36.4,8.1,7.1
17079,Jasper County,0.0875,0.1352,0.3239,0.0115,0.1139,16.7,4.9,5.6
17081,Jefferson County,0.7117,0.503,0.8164,0.4445,0.8406,22.8,6.5,7.1
17083,Jersey County,0.0318,0.0541,0.1152,0.0407,0.0986,15.1,3.4,4.4
17085,Jo Daviess County,0.076,0.092,0.272,0.1276,0.1295,15.2,2.7,4.7
17087,Johnson County,0.3834,0.2969,0.3716,0.503,0.5259,22.7,2.9,7
17089,Kane County,0.5084,0.4823,0.5033,0.8263,0.3427,14.3,5,7.9
17091,Kankakee County,0.7241,0.5695,0.7206,0.6656,0.7652,23.6,5.2,5.6
17093,Kendall County,0.0996,0.0694,0.4537,0.7251,0.0331,7.8,4.3,4
17095,Knox County,0.644,0.6074,0.4397,0.504,0.7731,27.4,4.9,5.6
17097,Lake County,0.475,0.3086,0.3847,0.7941,0.6118,13.5,5,6.8
