fips,eji_overall,eji_env_burden,eji_social_vuln,eji_health_vuln,n_tracts
17001,0.4025,0.3518,0.4314,0.3684,19
17003,0.8057,0.5101,0.7857,0.7,4
17005,0.5563,0.5268,0.4524,0.4,4
17007,0.4689,0.6466,0.454,0.16,10
17009,0.2957,0.1554,0.4908,0.3,2
17011,0.5897,0.557,0.5022,0.4,10
17013,0.3769,0.2003,0.3761,0.5,2
17015,0.4659,0.3686,0.4682,0.4,6
17017,0.3355,0.1991,0.6063,0.2,5
17019,0.3384,0.4067,0.4153,0.1708,48
17021,0.625,0.6985,0.4611,0.4,10
17023,0.4267,0.4959,0.3694,0.3,4
17025,0.679,0.5241,0.6276,0.55,4
17027,0.2758,0.3299,0.3334,0.2,9
17029,0.4959,0.3476,0.5295,0.4308,13
17031,0.5733,0.7469,0.5395,0.1932,1331
17033,0.4523,0.48,0.425,0.3,6
17035,0.4262,0.5144,0.3767,0.2667,3
17037,0.347,0.4977,0.3995,0.1217,23
17039,0.4381,0.4987,0.3681,0.32,5
17041,0.4527,0.4431,0.4947,0.28,5
17043,0.3208,0.6359,0.263,0.0712,219
17045,0.5774,0.4504,0.4933,0.48,5
17047,0.5033,0.2676,0.564,0.4667,3
17049,0.359,0.4616,0.3515,0.225,8
17051,0.5461,0.4253,0.595,0.3429,7
17053,0.549,0.464,0.5122,0.4,5
17055,0.6952,0.5005,0.6082,0.5833,12
17057,0.5375,0.4165,0.4294,0.5167,12
17059,0.6136,0.2769,0.6071,0.6,2
17061,0.5497,0.3796,0.4788,0.52,5
17063,0.3045,0.6568,0.2397,0.06,10
17065,0.6595,0.4153,0.5901,0.6,3
17067,0.417,0.2241,0.4509,0.4571,7
17069,0.4574,0.0467,0.5612,0.6,2
17071,0.488,0.4026,0.3903,0.4667,3
17073,0.4399,0.483,0.3709,0.3571,14
17075,0.5735,0.3983,0.5358,0.5111,9
17077,0.558,0.3935,0.6484,0.3647,17
17079,0.3775,0.2791,0.4051,0.4,3
17081,0.6302,0.5141,0.6208,0.4364,11
17083,0.2763,0.3244,0.3329,0.2333,6
17085,0.4308,0.3829,0.3396,0.4571,7
17087,0.5543,0.3243,0.4851,0.6,4
17089,0.3915,0.5465,0.4074,0.1269,104
17091,0.5603,0.5784,0.5604,0.3267,30
17093,0.1055,0.3276,0.1749,0,21
17095,0.6567,0.5635,0.5517,0.5375,16
17097,0.3565,0.551,0.3523,0.1384,159
17099,0.5618,0.7248,0.4616,0.2429,28
17101,0.682,0.5206,0.6676,0.44,5
17103,0.5141,0.5478,0.4508,0.3333,9
17105,0.5341,0.616,0.4651,0.28,10
17107,0.517,0.619,0.4206,0.325,8
17109,0.5131,0.3766,0.5143,0.4182,11
17111,0.1945,0.417,0.221,0.05,64
17113,0.2458,0.346,0.2851,0.1787,47
17115,0.6155,0.5989,0.5004,0.4919,37
17117,0.4427,0.3609,0.4024,0.4308,13
17119,0.4693,0.592,0.412,0.2762,63
17121,0.7125,0.5866,0.6212,0.5333,12
17123,0.5808,0.4987,0.4473,0.48,5
17125,0.4943,0.4078,0.411,0.4667,6
17127,0.8072,0.553,0.6684,0.8,4
17129,0.2176,0.234,0.2763,0.2667,3
17131,0.3922,0.3372,0.3173,0.45,4
17133,0.1597,0.4009,0.1232,0.1429,7
17135,0.5698,0.5477,0.5074,0.375,8
17137,0.553,0.4561,0.5038,0.44,10
17139,0.5461,0.5442,0.4284,0.4,4
17141,0.4231,0.5173,0.4044,0.2308,13
17143,0.5391,0.5945,0.5146,0.3306,49
17145,0.6582,0.5089,0.5364,0.5667,6
17147,0.3293,0.4328,0.3038,0.25,4
17149,0.5793,0.4626,0.5188,0.44,5
17151,0.5919,0.1876,0.6558,0.6,2
17153,0.8039,0.2852,0.8091,0.8,2
17155,0.3783,0.4866,0.2922,0.3,2
17157,0.6056,0.5143,0.5557,0.44,10
17159,0.5871,0.4227,0.5366,0.52,5
17161,0.6339,0.6743,0.5551,0.3953,43
17163,0.498,0.5578,0.5163,0.3059,68
17165,0.6415,0.3616,0.6129,0.5778,9
17167,0.3841,0.4031,0.4084,0.2963,54
17169,0.5378,0.3418,0.5555,0.4667,3
17171,0.2617,0.2167,0.3588,0.3,2
17173,0.4117,0.358,0.3519,0.4333,6
17175,0.6197,0.5117,0.4929,0.5,2
17177,0.5163,0.3675,0.4906,0.5077,13
17179,0.3054,0.4453,0.2908,0.2067,30
17181,0.6564,0.3602,0.7004,0.52,5
17183,0.6125,0.4929,0.5411,0.5,24
17185,0.6123,0.542,0.5492,0.45,4
17187,0.5933,0.6683,0.4655,0.36,5
17189,0.4248,0.4867,0.3689,0.3,4
17191,0.6334,0.4781,0.5799,0.48,5
17193,0.683,0.4148,0.6301,0.6,5
17195,0.5248,0.4905,0.4636,0.4,19
17197,0.3053,0.4888,0.3152,0.1151,172
17199,0.5415,0.4904,0.5253,0.3667,18
17201,0.5767,0.6079,0.5558,0.3625,80
17203,0.2492,0.3045,0.2968,0.2444,9
