fips,county_name,hpsa_prim_care,hpsa_dental,hpsa_mental_health,hpsa_any_shortage,hpsa_prim_care_designated
17001,Adams,2,2,2,1,1
17003,Alexander,0,2,1,1,0
17005,Bond,2,2,1,1,1
17007,Boone,2,0,0,1,1
17009,Brown,1,1,1,1,1
17011,Bureau,1,1,1,1,1
17013,Calhoun,1,2,1,1,1
17015,Carroll,1,1,1,1,1
17017,Cass,1,2,1,1,1
17019,Champaign,2,2,1,1,1
17021,Christian,2,2,1,1,1
17023,Clark,2,2,1,1,1
17025,Clay,1,2,1,1,1
17027,Clinton,1,2,1,1,1
17029,Coles,2,2,0,1,1
17031,Cook,2,2,2,1,1
17033,Crawford,2,2,1,1,1
17035,Cumberland,0,1,1,1,0
17037,DeKalb,2,2,1,1,1
17039,De Witt,1,1,1,1,1
17041,Douglas,2,2,1,1,1
17043,DuPage,2,2,2,1,1
17045,Edgar,1,1,1,1,1
17047,Edwards,1,1,1,1,1
17049,Effingham,2,0,1,1,1
17051,Fayette,2,2,1,1,1
17053,Ford,2,0,1,1,1
17055,Franklin,2,2,1,1,1
17057,Fulton,2,2,1,1,1
17059,Gallatin,1,2,1,1,1
17061,Greene,2,2,1,1,1
17063,Grundy,0,0,1,1,0
17065,Hamilton,1,2,1,1,1
17067,Hancock,2,2,1,1,1
17069,Hardin,1,2,1,1,1
17071,Henderson,2,2,1,1,1
17073,Henry,1,0,1,1,1
17075,Iroquois,2,2,1,1,1
17077,Jackson,2,2,1,1,1
17079,Jasper,0,2,1,1,0
17081,Jefferson,2,2,1,1,1
17083,Jersey,1,2,1,1,1
17085,Jo Daviess,0,0,1,1,0
17087,Johnson,1,2,1,1,1
17089,Kane,2,2,2,1,1
17091,Kankakee,2,0,1,1,1
17093,Kendall,0,0,0,0,0
17095,Knox,2,2,1,1,1
17097,Lake,2,2,2,1,1
17099,La Salle,2,2,1,1,1
17101,Lawrence,2,2,1,1,1
17103,Lee,1,2,1,1,1
17105,Livingston,2,2,1,1,1
17107,Logan,1,2,1,1,1
17109,McDonough,2,2,1,1,1
17111,McHenry,0,0,1,1,0
17113,McLean,2,2,1,1,1
17115,Macon,2,2,1,1,1
17117,Macoupin,1,2,1,1,1
17119,Madison,2,0,1,1,1
17121,Marion,2,2,1,1,1
17123,Marshall,1,0,1,1,1
17125,Mason,1,2,1,1,1
17127,Massac,2,2,1,1,1
17129,Menard,0,1,1,1,0
17131,Mercer,1,0,1,1,1
17133,Monroe,0,0,1,1,0
17135,Montgomery,2,2,1,1,1
17137,Morgan,2,2,1,1,1
17139,Moultrie,1,2,1,1,1
17141,Ogle,1,0,1,1,1
17143,Peoria,2,2,1,1,1
17145,Perry,2,2,1,1,1
17147,Piatt,0,0,1,1,0
17149,Pike,1,2,1,1,1
17151,Pope,1,2,1,1,1
17153,Pulaski,1,2,1,1,1
17155,Putnam,1,1,1,1,1
17157,Randolph,2,2,1,1,1
17159,Richland,2,2,1,1,1
17161,Rock Island,2,2,1,1,1
17163,St. Clair,2,2,1,1,1
17165,Saline,2,2,1,1,1
17167,Sangamon,2,2,2,1,1
17169,Schuyler,1,2,1,1,1
17171,Scott,1,2,1,1,1
17173,Shelby,1,2,1,1,1
17175,Stark,2,0,1,1,1
17177,Stephenson,2,2,2,1,1
17179,Tazewell,2,2,1,1,1
17181,Union,2,2,1,1,1
17183,Vermilion,2,2,1,1,1
17185,Wabash,1,1,1,1,1
17187,Warren,2,2,1,1,1
17189,Washington,1,0,1,1,1
17191,Wayne,2,2,1,1,1
17193,White,2,2,1,1,1
17195,Whiteside,2,2,1,1,1
17197,Will,2,2,1,1,1
17199,Williamson,2,2,1,1,1
17201,Winnebago,2,2,2,1,1
17203,Woodford,1,2,1,1,1
