fips,pct_lila_tracts,mean_dist_supermarket,pct_no_vehicle_far
17001,5.56,67.9585,128.11
17003,75,100,919.24
17005,25,92.8299,351.98
17007,28.57,83.9935,74.93
17009,0,78.2079,182.7
17011,10,92.5061,354.08
17013,0,93.4534,464.05
17015,16.67,90.5793,254.86
17017,0,74.2848,189.72
17019,6.98,70.6964,170.74
17021,0,67.9622,140.35
17023,25,94.6871,172.14
17025,0,91.0174,206.36
17027,0,88.8192,268.09
17029,50,80.1267,290.71
17031,3.88,52.2141,195.31
17033,16.67,87.3935,190.24
17035,0,77.324700000000007,319.51
17037,23.81,86.9675,285.95
17039,0,74.916,125.02
17041,20,72.4617,630.78
17043,0,70.6136,107.55
17045,40,89.0355,364.96
17047,33.33,68.9059,170.16
17049,25,77.717,250.76
17051,71.43,97.4874,323.85
17053,20,83.3771,254.4
17055,25,80.4181,323.06
17057,16.67,77.3554,174.66
17059,50,100,687.87
17061,0,67.35,144.52
17063,10,87.4823,135.97
17065,0,80.0606,295.36
17067,42.86,92.8218,388.46
17069,0,84.7608,536.24
17071,0,77.7279,198.58
17073,15.38,81.3358,197.68
17075,33.33,92.2349,365.49
17077,50,82.6834,539.8
17079,33.33,90.5847,363.51
17081,36.36,79.0798,359.18
17083,0,97.5601,328.77
17085,16.67,89.8899,199.82
17087,0,87.4902,234.02
17089,6.1,69.7845,129.71
17091,17.24,84.7073,460.98
17093,10,86.9811,116.96
17095,25,76.9591,167.48
17097,5.26,75.5981,147.67
17099,17.86,75.7976,253.5
17101,20,75.2751,249.91
17103,11.11,88.762,355.27
17105,20,82.1135,248.34
17107,0,88.7628,227.49
17109,50,87.4931,232.68
17111,3.85,86.3976,142.75
17113,19.51,75.4731,233.15
17115,11.76,82.4428,293.66
17117,7.69,82.4642,215.16
17119,26.23,85.5644,388.21
17121,41.67,86.1534,313.84
17123,0,79.055,182.33
17125,33.33,87.4669,309.88
17127,25,73.9546,263.57
17129,0,90.5201,211.9
17131,25,95.8085,476.83
17133,0,91.6404,205.67
17135,50,90.5896,290.6
17137,50,88.206,298.93
17139,0,85.608,722.67
17141,18.18,81.6107,210.91
17143,33.33,81.4487,677.13
17145,33.33,93.9099,337.87
17147,0,91.672,197.94
17149,80,82.6717,320.78
17151,0,87.7087,327.26
17153,100,87.2919,921.87
17155,0,99.9617,228.8
17157,11.11,86.1035,262.37
17159,0,66.5729,78.4
17161,25,72.662,385.32
17163,33.33,79.2722,624.54
17165,33.33,82.6874,312.39
17167,9.43,75.8635,210.9
17169,33.33,87.0142,195.29
17171,0,100,390.75
17173,16.67,91.7482,287.41
17175,0,100,325.11
17177,0,73.2333,242.06
17179,10,85.8316,312.36
17181,20,80.6283,292.87
17183,25,79.7833,325.42
17185,25,66.042,92.08
17187,20,76.4173,138.54
17189,0,74.1867,158.06
17191,40,81.6794,304.31
17193,0,76.9794,308.7
17195,22.22,81.7886,224.68
17197,10.6,79.4788,190.37
17199,33.33,89.4268,444.77
17201,14.29,72.4955,276.56
17203,0,81.3772,201.36
