fips,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity
17001,8698.9884441,4.3043865801,5.5525318657,14.986481267,72.49549874,17.8,39.5,12.8
17003,16047.751832,5.1846210092,6.0218123037,14.409221902,77.65607886,22.900000000000002,43,16.6
17005,7669.7806249,4.5186962598,5.5045752145,11.469274417,73.94501278999999,21.6,37.6,14.399999999999999
17007,6935.2202604,4.2820481668,5.3157486757,5.2677126839,83.04359175,17.4,39.5,12.2
17009,5303.189835,4.6496257767,5.4006268108,11.058451817,73.62691737,19.6,40.6,11.5
17011,8700.5588776,4.3779633591,5.4622111557,13.707810406,76.17586182,18.7,37.8,13.100000000000001
17013,9813.6191709,4.0634342302,5.350020217,0,89.11620295,15,34.599999999999994,12
17015,8315.9940702,4.3534492476,5.4604772794,13.523085839,77.75548008999999,15.4,36,12.4
17017,7822.6096051,4.5876193983,5.4494039318,14.221379474,74.91723465999999,17.5,38.5,12.9
17019,7180.1386012,4.1490759076,4.8974265859,11.861994171,53.44903733,16,35.5,12.7
17021,8450.8408721,4.4551307539,5.5632340392,13.159468836,74.27220334,17.4,36.4,13.100000000000001
17023,9614.9137236,4.1759878394,5.469146813,18.385974128,81.70380476,14.799999999999999,35,11.4
17025,8233.1904113,4.7490253388,5.8375747297,17.628573618,80.70336955,19.3,38.3,15.2
17027,5625.5482976,4.1053052063,5.2393147298,13.275894768,79.34038581,15.7,35.3,10.100000000000001
17029,9240.855685,4.5906946658,5.7046444937,14.891872059,60.383575119999996,17.299999999999997,38.5,16.1
17031,8535.8650443,4.0410331407,5.1857119131,7.2025634863,57.50967342,12,32.800000000000004,12.1
17033,7129.2934078,4.3087858542,5.3748085615,15.105740181,80.40750236000001,18.2,36.8,11.799999999999999
17035,7351.9965738,4.1848058388,5.5231404984,10.654784967,83.46889952,16.5,37.2,11.5
17037,7707.8182975,4.1732091463,5.3231000551,10.575464921,60.86127079,14.2,35.699999999999996,12.6
17039,9245.6900913,4.3297167744,5.4894913888,13.063357283,76.844324,16.900000000000002,36.5,11.700000000000001
17041,6967.8380116,4.5448960793,5.7499265787,12.655024045,79.09474492000001,19,36.7,11
17043,4711.3568893,3.3061991767,4.343224807,9.2626677569,73.12823858,9.700000000000001,29.4,9
17045,11162.282879,4.5676444606,5.6913794465,12.170632264,72.66158697,18,37.4,13.4
17047,9576.2678977,4.5702896206,5.7247964884,29.649151705,79.15567282,16.900000000000002,37.2,14.399999999999999
17049,6573.048719,4.1300348833,5.4019899267,15.149308084,78.07555239,14.2,35.5,11.5
17051,7667.6998903,4.6104351737,5.6883843847,15.019948369,80.20939734,16.5,37.2,14.2
17053,9100.8995087,4.3962918125,5.6076823027,15.850252849,74.10963686999999,17.8,38,13
17055,12270.6227,4.8658985022,5.7764445585,14.231244294,74.76751395,20.3,39.6,16.6
17057,8636.7355838,4.5911130246,5.6276572601,15.444716998,77.90965329000001,19,39.300000000000004,13.200000000000001
17059,12280.223352,4.9369318898,5.9266432819,12.358393409,80.39122137,19.900000000000002,38.4,17
17061,10189.970889,4.6129043411,5.7599498665,16.30761308,76.82764732,18.8,37.5,14.000000000000002
17063,7576.1832311,3.8720132521,5.1943477297,8.6725363398,75.8114826,13.200000000000001,35.099999999999994,9.8
17065,8280.8720804,4.6658858139,5.7452348823,23.79759519,78.26865672,18.2,37.8,14.099999999999998
17067,7757.556362,4.3395319436,5.4204817409,21.456738576,81.27744511,15.4,35.099999999999994,13.600000000000001
17069,12840.068621,4.6608547537,5.7511218855,11.120378093,80.72776280000001,20.7,37.8,15.7
17071,8415.4223517,4.2614223686,5.5186008624,11.380263372,85.53719008,17.299999999999997,37.2,11.700000000000001
17073,7545.4596318,4.1071290664,5.5080255898,13.424482125,80.38596318,15.2,34.699999999999996,11.4
17075,9715.0037977,4.5274114564,5.6129547182,14.731991085,78.54054531,17.299999999999997,38.3,13
17077,10751.021623,4.6838125162,5.6749599933,17.294790657,49.32432432,19.1,39,16
17079,6630.7805067,4.1378152692,5.417913349,14.11202779,82.81996814,14.499999999999998,35,11.700000000000001
17081,10088.642367,4.5815603335,5.5983133567,17.032967033,71.85410334,18.4,38.800000000000004,14.2
17083,9795.025836,4.0973609418,5.55545021,10.354890332,77.91833667,17.599999999999998,37.8,10.8
