fips,n_districts,total_enrollment,pct_free_lunch,pct_reduced_lunch
17001,8,5556,NA,NA
17003,4,936,NA,NA
17005,3,1762,NA,NA
17007,8,8334,NA,NA
17009,1,278,NA,NA
17011,18,5704,NA,NA
17013,2,234,NA,NA
17015,6,1735,NA,NA
17017,4,1939,NA,NA
17019,16,13771,NA,NA
17021,9,2883,NA,NA
17023,7,2266,NA,NA
17025,6,2164,NA,NA
17027,20,4799,NA,NA
17029,9,5279,NA,NA
17031,127,404075,NA,NA
17033,5,1560,NA,NA
17035,5,2719,NA,NA
17037,16,10029,NA,NA
17039,5,1993,NA,NA
17041,5,1674,NA,NA
17043,37,42549,NA,NA
17045,7,1768,NA,NA
17047,2,552,NA,NA
17049,7,2243,NA,NA
17051,11,3124,NA,NA
17053,5,1868,NA,NA
17055,11,4002,NA,NA
17057,9,3214,NA,NA
17059,4,1725,NA,NA
17061,4,1898,NA,NA
17063,18,4430,NA,NA
17065,7,2238,NA,NA
17067,10,2051,NA,NA
17069,2,530,NA,NA
17071,5,2083,NA,NA
17073,11,4059,NA,NA
17075,10,3420,NA,NA
17077,14,7583,NA,NA
17079,5,1533,NA,NA
17081,22,5473,NA,NA
17083,2,1550,NA,NA
17085,9,2118,NA,NA
17087,7,871,NA,NA
17089,15,61379,NA,NA
17091,16,10873,NA,NA
17093,15,31555,NA,NA
17095,10,5362,NA,NA
17097,32,44945,NA,NA
17099,29,8254,NA,NA
17101,2,1230,NA,NA
17103,19,7319,NA,NA
17105,15,4415,NA,NA
17107,9,2161,NA,NA
17109,5,2040,NA,NA
17111,22,28641,NA,NA
17113,13,11141,NA,NA
17115,9,9608,NA,NA
17117,13,7478,NA,NA
17119,19,23915,NA,NA
17121,18,4429,NA,NA
17123,7,2639,NA,NA
17125,4,1164,NA,NA
17127,3,1587,NA,NA
17129,6,1175,NA,NA
17131,3,1227,NA,NA
17133,6,1544,NA,NA
17135,10,3771,NA,NA
17137,9,3202,NA,NA
17139,5,3146,NA,NA
17141,15,5626,NA,NA
17143,20,15886,NA,NA
17145,10,2317,NA,NA
17147,6,1860,NA,NA
17149,5,1600,NA,NA
17151,4,2671,NA,NA
17153,4,889,NA,NA
17155,2,306,NA,NA
17157,8,2827,NA,NA
17159,2,1574,NA,NA
17161,11,14570,NA,NA
17163,33,26909,NA,NA
17165,7,2791,NA,NA
17167,13,11996,NA,NA
17169,3,986,NA,NA
17171,4,2452,NA,NA
17173,11,3833,NA,NA
17175,6,2472,NA,NA
17177,8,3851,NA,NA
17179,21,8114,NA,NA
17181,12,2609,NA,NA
17183,12,8072,NA,NA
17185,2,823,NA,NA
17187,4,4829,NA,NA
17189,15,3172,NA,NA
17191,11,2442,NA,NA
17193,3,1131,NA,NA
17195,11,5478,NA,NA
17197,38,55385,NA,NA
17199,15,8995,NA,NA
17201,13,31682,NA,NA
17203,12,3423,NA,NA
