fips,county_name,poverty_rate,median_hh_income,unemployment_rate,snap_rate,rent_burden_rate,pct_no_hs,pct_hs_grad,pct_bachelor_plus,uninsured_rate,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct,svi_overall,svi_socioeco,svi_hh_char,svi_minority,svi_housing,pct_poverty,pct_unemp_svi,pct_uninsured_svi,eji_overall,eji_env_burden,eji_social_vuln,eji_health_vuln,n_tracts,hpsa_prim_care,hpsa_dental,hpsa_mental_health,hpsa_any_shortage,hpsa_prim_care_designated,pct_lila_tracts,mean_dist_supermarket,pct_no_vehicle_far,premature_death,poor_health_days,poor_mental_days,social_associations,voter_turnout,adult_smoking,adult_obesity,food_insecurity,n_districts,total_enrollment,pct_free_lunch,pct_reduced_lunch
17001,"Adams County, Illinois",12.84,66220,3.87,12.35,36.98,0.53,30.27,27.46,4.4,37.8,22.4,12,8.1,14.4,73.2,24.1,10.3,7.3,37.2,64,0.2965,0.1343,0.4849,0.2628,0.6481,21.1,3.9,4.8,0.4025,0.3518,0.4314,0.3684,19,2,2,2,1,1,5.56,67.9585,128.11,8698.9884441,4.3043865801,5.5525318657,14.986481267,72.49549874,17.8,39.5,12.8,8,5556,NA,NA
17003,"Alexander County, Illinois",19.02,47043,6.48,26.84,15.46,0.83,37.23,12.55,9.5,45.3,21.2,19,12.1,19.6,71.2,33.3,11.7,10.1,47.9,62.8,0.8941,0.9052,0.8521,0.7423,0.7509,34.2,9.3,11,0.8057,0.5101,0.7857,0.7,4,0,2,1,1,0,75,100,919.24,16047.751832,5.1846210092,6.0218123037,14.409221902,77.65607886,22.9,43,16.6,4,936,NA,NA
17005,"Bond County, Illinois",10.88,65959,4.54,12.9,28.58,0.39,27.88,21.62,3.6,39,22.8,11.6,8,15.1,74.1,24.2,10.5,8.8,35.5,63.8,0.5253,0.3159,0.2167,0.3888,0.9736,24.3,4.3,4.4,0.5563,0.5268,0.4524,0.4,4,2,2,1,1,1,25,92.8299,351.98,7669.7806249,4.5186962598,5.5045752145,11.469274417,73.94501278999999,21.6,37.6,14.4,3,1762,NA,NA
17007,"Boone County, Illinois",9.93,84571,7.36,14.29,42.71,3.01,24.78,23.64,5.6,36.8,21.5,12.2,7.4,14.1,74.8,25.6,10,11.8,34.9,61.3,0.4655,0.5189,0.6465,0.658,0.174,16.4,7.7,5.7,0.4689,0.6466,0.454,0.16,10,2,0,0,1,1,28.57,83.9935,74.93,6935.2202604,4.2820481668,5.3157486757,5.2677126839,83.04359175,17.4,39.5,12.2,8,8334,NA,NA
17009,"Brown County, Illinois",9.25,67917,3.06,12.1,38.19,0.73,31.79,12.58,2.1,41.5,20.5,11.7,8,17.8,65.9,26.4,10,12.1,36.4,55.8,0.4753,0.2469,0.2199,0.6013,0.9144,23.2,2.1,5,0.2957,0.1554,0.4908,0.3,2,1,1,1,1,1,0,78.2079,182.7,5303.189835,4.6496257767,5.4006268108,11.058451817,73.62691737,19.6,40.6,11.5,1,278,NA,NA
17011,"Bureau County, Illinois",10.76,69257,4.26,13.47,29.59,1.26,29.54,21.66,5.4,38.1,22.5,13.2,8.9,14.8,71.7,25.8,10.2,9.1,37.9,64.4,0.3544,0.4069,0.5644,0.4057,0.1973,21.4,5.7,6.5,0.5897,0.557,0.5022,0.4,10,1,1,1,1,1,10,92.5061,354.08,8700.5588776,4.3779633591,5.4622111557,13.707810406,76.17586182,18.7,37.8,13.1,18,5704,NA,NA
17013,"Calhoun County, Illinois",6.31,93203,3.24,7.67,23.57,0.39,32.59,20.12,2.4,35.3,21.2,11.9,7.8,12.9,71.8,22,10.1,6.4,38,64.5,0.0541,0.043,0.2297,0.0474,0.188,12.1,4.1,1.2,0.3769,0.2003,0.3761,0.5,2,1,2,1,1,1,0,93.4534,464.05,9813.6191709,4.0634342302,5.350020217,0,89.11620295,15,34.599999999999994,12,2,234,NA,NA
17015,"Carroll County, Illinois",14.2,60758,3.06,15.14,33.84,1.38,31.75,17.75,5.8,38.8,21.3,13.3,9,15.3,71.7,25.8,10.1,9.1,39.3,64,0.2304,0.3271,0.1133,0.3118,0.3519,18.8,4.9,6.6,0.4659,0.3686,0.4682,0.4,6,1,1,1,1,1,16.67,90.5793,254.86,8315.9940702,4.3534492476,5.4604772794,13.523085839,77.75548008999999,15.4,36,12.4,6,1735,NA,NA
17017,"Cass County, Illinois",11.09,68125,4.21,14.72,26.01,3.48,35.52,20.76,7.7,40.6,21.6,13.4,8.6,15.8,67.6,27.8,10.2,12.6,37.4,60.6,0.4998,0.3519,0.8148,0.6277,0.356,23,5.4,4.5,0.3355,0.1991,0.6063,0.2,5,1,2,1,1,1,0,74.2848,189.72,7822.6096051,4.5876193983,5.4494039318,14.221379474,74.91723465999999,17.5,38.5,12.9,4,1939,NA,NA
17019,"Champaign County, Illinois",19.07,63683,4.29,9.08,47.56,0.91,19.07,46.18,5.2,31.1,22.6,9.6,5.6,11.1,75,20.1,10.1,7.5,28.7,65.3,0.4658,0.4388,0.0395,0.7226,0.8269,26.6,4.8,4.9,0.3384,0.4067,0.4153,0.1708,48,2,2,1,1,1,6.98,70.6964,170.74,7180.1386012,4.1490759076,4.8974265859,11.861994171,53.44903733,16,35.5,12.7,16,13771,NA,NA
