fips,county_name,shortage_type,count
17001,"Adams County, Illinois",Primary Care,2
17001,"Adams County, Illinois",Dental,2
17001,"Adams County, Illinois",Mental Health,2
17003,"Alexander County, Illinois",Primary Care,0
17003,"Alexander County, Illinois",Dental,2
17003,"Alexander County, Illinois",Mental Health,1
17005,"Bond County, Illinois",Primary Care,2
17005,"Bond County, Illinois",Dental,2
17005,"Bond County, Illinois",Mental Health,1
17007,"Boone County, Illinois",Primary Care,2
17007,"Boone County, Illinois",Dental,0
17007,"Boone County, Illinois",Mental Health,0
17009,"Brown County, Illinois",Primary Care,1
17009,"Brown County, Illinois",Dental,1
17009,"Brown County, Illinois",Mental Health,1
17011,"Bureau County, Illinois",Primary Care,1
17011,"Bureau County, Illinois",Dental,1
17011,"Bureau County, Illinois",Mental Health,1
17013,"Calhoun County, Illinois",Primary Care,1
17013,"Calhoun County, Illinois",Dental,2
17013,"Calhoun County, Illinois",Mental Health,1
17015,"Carroll County, Illinois",Primary Care,1
17015,"Carroll County, Illinois",Dental,1
17015,"Carroll County, Illinois",Mental Health,1
17017,"Cass County, Illinois",Primary Care,1
17017,"Cass County, Illinois",Dental,2
17017,"Cass County, Illinois",Mental Health,1
17019,"Champaign County, Illinois",Primary Care,2
17019,"Champaign County, Illinois",Dental,2
17019,"Champaign County, Illinois",Mental Health,1
17021,"Christian County, Illinois",Primary Care,2
17021,"Christian County, Illinois",Dental,2
17021,"Christian County, Illinois",Mental Health,1
17023,"Clark County, Illinois",Primary Care,2
17023,"Clark County, Illinois",Dental,2
17023,"Clark County, Illinois",Mental Health,1
17025,"Clay County, Illinois",Primary Care,1
17025,"Clay County, Illinois",Dental,2
17025,"Clay County, Illinois",Mental Health,1
17027,"Clinton County, Illinois",Primary Care,1
17027,"Clinton County, Illinois",Dental,2
17027,"Clinton County, Illinois",Mental Health,1
17029,"Coles County, Illinois",Primary Care,2
17029,"Coles County, Illinois",Dental,2
17029,"Coles County, Illinois",Mental Health,0
17031,"Cook County, Illinois",Primary Care,2
17031,"Cook County, Illinois",Dental,2
17031,"Cook County, Illinois",Mental Health,2
17033,"Crawford County, Illinois",Primary Care,2
17033,"Crawford County, Illinois",Dental,2
17033,"Crawford County, Illinois",Mental Health,1
17035,"Cumberland County, Illinois",Primary Care,0
17035,"Cumberland County, Illinois",Dental,1
17035,"Cumberland County, Illinois",Mental Health,1
17037,"DeKalb County, Illinois",Primary Care,2
17037,"DeKalb County, Illinois",Dental,2
17037,"DeKalb County, Illinois",Mental Health,1
17039,"De Witt County, Illinois",Primary Care,1
17039,"De Witt County, Illinois",Dental,1
17039,"De Witt County, Illinois",Mental Health,1
17041,"Douglas County, Illinois",Primary Care,2
17041,"Douglas County, Illinois",Dental,2
17041,"Douglas County, Illinois",Mental Health,1
17043,"DuPage County, Illinois",Primary Care,2
17043,"DuPage County, Illinois",Dental,2
17043,"DuPage County, Illinois",Mental Health,2
17045,"Edgar County, Illinois",Primary Care,1
17045,"Edgar County, Illinois",Dental,1
17045,"Edgar County, Illinois",Mental Health,1
17047,"Edwards County, Illinois",Primary Care,1
17047,"Edwards County, Illinois",Dental,1
17047,"Edwards County, Illinois",Mental Health,1
17049,"Effingham County, Illinois",Primary Care,2
17049,"Effingham County, Illinois",Dental,0
17049,"Effingham County, Illinois",Mental Health,1
17051,"Fayette County, Illinois",Primary Care,2
17051,"Fayette County, Illinois",Dental,2
17051,"Fayette County, Illinois",Mental Health,1
17053,"Ford County, Illinois",Primary Care,2
17053,"Ford County, Illinois",Dental,0
17053,"Ford County, Illinois",Mental Health,1
17055,"Franklin County, Illinois",Primary Care,2
17055,"Franklin County, Illinois",Dental,2
17055,"Franklin County, Illinois",Mental Health,1
17057,"Fulton County, Illinois",Primary Care,2
17057,"Fulton County, Illinois",Dental,2
17057,"Fulton County, Illinois",Mental Health,1
17059,"Gallatin County, Illinois",Primary Care,1
17059,"Gallatin County, Illinois",Dental,2
17059,"Gallatin County, Illinois",Mental Health,1
17061,"Greene County, Illinois",Primary Care,2
17061,"Greene County, Illinois",Dental,2
17061,"Greene County, Illinois",Mental Health,1
17063,"Grundy County, Illinois",Primary Care,0
17063,"Grundy County, Illinois",Dental,0
17063,"Grundy County, Illinois",Mental Health,1
17065,"Hamilton County, Illinois",Primary Care,1
17065,"Hamilton County, Illinois",Dental,2
17065,"Hamilton County, Illinois",Mental Health,1
17067,"Hancock County, Illinois",Primary Care,2
17067,"Hancock County, Illinois",Dental,2
17067,"Hancock County, Illinois",Mental Health,1
17069,"Hardin County, Illinois",Primary Care,1
17069,"Hardin County, Illinois",Dental,2
17069,"Hardin County, Illinois",Mental Health,1
17071,"Henderson County, Illinois",Primary Care,2
17071,"Henderson County, Illinois",Dental,2
17071,"Henderson County, Illinois",Mental Health,1
17073,"Henry County, Illinois",Primary Care,1
17073,"Henry County, Illinois",Dental,0
17073,"Henry County, Illinois",Mental Health,1
17075,"Iroquois County, Illinois",Primary Care,2
17075,"Iroquois County, Illinois",Dental,2
17075,"Iroquois County, Illinois",Mental Health,1
17077,"Jackson County, Illinois",Primary Care,2
17077,"Jackson County, Illinois",Dental,2
17077,"Jackson County, Illinois",Mental Health,1
17079,"Jasper County, Illinois",Primary Care,0
17079,"Jasper County, Illinois",Dental,2
17079,"Jasper County, Illinois",Mental Health,1
17081,"Jefferson County, Illinois",Primary Care,2
17081,"Jefferson County, Illinois",Dental,2
17081,"Jefferson County, Illinois",Mental Health,1
